siret,siren,nic
89762308800019,897623088,00019
89762596800028,897625968,00028
84194378000020,841943780,00020
49836707700027,498367077,00027
89772045400015,897720454,00015
90801436800017,908014368,00017
89776252200018,897762522,00018
38808439400062,388084394,00062
81861099000017,818610990,00017
89792639000013,897926390,00013
84230220000014,842302200,00014
30821966600119,308219666,00119
43390217800022,433902178,00022
89800125000015,898001250,00015
33126776500054,331267765,00054
89800982400019,898009824,00019
89804616400015,898046164,00015
89819460000026,898194600,00026
18003606300220,180036063,00220
18003606300253,180036063,00253
49936638300036,499366383,00036
18003606300279,180036063,00279
89834523600019,898345236,00019
89837559700025,898375597,00025
89837669400011,898376694,00011
89841252300018,898412523,00018
89846396300014,898463963,00014
89855277300019,898552773,00019
78983282100035,789832821,00035
89861301300017,898613013,00017
84325021800016,843250218,00016
31036079700032,310360797,00032
43488451600031,434884516,00031
89868045900010,898680459,00010
38924943400017,389249434,00017
78996437600030,789964376,00030
89872481000020,898724810,00020
31065677200160,310656772,00160
31065677200186,310656772,00186
31065677200194,310656772,00194
31065677200202,310656772,00202
31065677200210,310656772,00210
79010444200013,790104442,00013
31069930100027,310699301,00027
81931446900027,819314469,00027
90528709000013,905287090,00013
89879319500022,898793195,00022
38935885400062,389358854,00062
89883464300014,898834643,00014
84392817700024,843928177,00024
88770911100025,887709111,00025
53534758700011,535347587,00011
83121116400015,831211164,00015
84397535000011,843975350,00011
89893477300018,898934773,00018
89893607500016,898936075,00016
89897201300012,898972013,00012
89898864700019,898988647,00019
89909206800019,899092068,00019
89913776400010,899137764,00010
89919155500015,899191555,00015
84431928500020,844319285,00020
89922057800012,899220578,00012
89975646400017,899756464,00017
44492238900010,444922389,00010
79052694100022,790526941,00022
51141946700028,511419467,00028
89931289600025,899312896,00025
89931608700019,899316087,00019
91283681400018,912836814,00018
81981404700018,819814047,00018
89932336400013,899323364,00013
91528757700018,915287577,00018
90924829600016,909248296,00016
89532400200024,895324002,00024
84865225100028,848652251,00028
90943030800017,909430308,00017
39014842700052,390148427,00052
89936817900011,899368179,00011
53813653200016,538136532,00016
89939896000018,899398960,00018
89942042600012,899420426,00012
84462511100027,844625111,00027
50109198700054,501091987,00054
53821923900059,538219239,00059
51890309100024,518903091,00024
89947496900024,899474969,00024
81999622400013,819996224,00013
18360001400017,183600014,00017
89948772200014,899487722,00014
50129208000014,501292080,00014
41837394000059,418373940,00059
18860003500144,188600035,00144
89949976800039,899499768,00039
18383002500015,183830025,00015
31350998600029,313509986,00029
84487045100011,844870451,00011
89962769900015,899627699,00015
91190087600010,911900876,00010
18460001300017,184600013,00017
39075824100041,390758241,00041
89973194700011,899731947,00011
39075824100108,390758241,00108
89974086400017,899740864,00017
89982790100013,899827901,00013
33103561800064,331035618,00064
18572202200125,185722022,00125
89986421900022,899864219,00022
89459430800013,894594308,00013
43905501300031,439055013,00031
91139148000017,911391480,00017
89999881900010,899998819,00010
81015073000010,810150730,00010
88931076900019,889310769,00019
90008164700019,900081647,00019
50218786700010,502187867,00010
79189732500027,791897325,00027
90014401500014,900144015,00014
90019822700010,900198227,00010
43956508600048,439565086,00048
41088425800105,410884258,00105
31550339100098,315503391,00098
31550339100221,315503391,00221
31550339100239,315503391,00239
90021962700024,900219627,00024
88749955600017,887499556,00017
82114052200037,821140522,00037
91433349700016,914333497,00016
90023584700010,900235847,00010
83234145700014,832341457,00014
31550339100387,315503391,00387
31550339100403,315503391,00403
31550339100437,315503391,00437
50257683800044,502576838,00044
90029478600018,900294786,00018
88349725700013,883497257,00013
90029983500018,900299835,00018
90030176300018,900301763,00018
